,a,b,c,d,e,id
1149,600,300,60.4,600,5100,2
1150,300,300,50.4,300,0,2
1151,300,0,4,300,20100,2
1152,600,300,9.6,600,18600,2
1153,300,300,20,300,10500,2
1154,300,0,64.60666667,300,1500,2
1155,300,900,52.8,300,33900,2
1156,900,1200,49.6,900,3000,2
1157,600,600,28,600,0,2
1158,900,300,22.4,900,0,2
1159,900,1500,20.4,900,0,2
1160,300,300,24,300,1800,2
1161,300,0,7.2,300,1800,2
1162,600,600,8.8,600,20100,2
1163,300,300,6.4,300,0,2
1164,300,300,12.4,300,7200,2
1165,300,900,24.8,300,125100,2
1166,1200,300,35.6,1200,300,2
1167,600,300,30,600,0,2
1168,600,300,19.6,600,0,2
1169,600,300,24.8,600,0,2
1170,600,0,30,600,300,2
1171,600,300,24,600,600,2
1172,600,300,62,600,3000,2
1173,300,1200,34.4,300,39000,2
1174,600,600,41.2,600,600,2
1175,600,300,22,600,300,2
1176,5100,0,27.2,5100,0,2
1177,600,1200,18.4,600,2400,2
1178,1200,300,23.2,1200,1500,2
1179,300,300,3.6,300,3300,2
1180,30300,0,28.4,30300,0,2
1181,1200,300,28.4,1200,0,2
1182,300,300,4.8,300,300,2
1183,600,600,21.6,600,56100,2
1184,600,1200,32.8,600,600,2
1185,3300,0,32.8,3300,0,2
1186,600,1800,29.6,600,0,2
1187,900,300,25.2,900,0,2
1188,600,300,20.8,600,900,2
1189,300,0,3.6,300,6000,2
1190,600,300,14.4,600,900,2
1191,300,300,11.6,300,470400,2
1192,300,0,27.2,300,300,2
1193,900,300,40.8,900,600,2
1194,300,300,40.8,300,0,2
1195,300,300,27.2,300,600,2
1196,300,300,27.2,300,0,2
1197,300,300,9.2,300,0,2
1198,300,300,15.2,300,0,2
1199,600,600,5.6,600,1200,2
1200,300,0,8.8,300,1114200,2
1201,600,900,33.2,600,300,2
1202,600,300,21.6,600,0,2
1203,900,300,21.6,900,0,2
1204,300,300,11.6,300,0,2
1205,300,0,4.8,300,21900,2
1206,300,300,10.8,300,3300,2
1207,300,300,7.6,300,3000,2
1208,300,300,8.8,300,1200,2
1209,300,0,8,300,1200,2
1210,300,300,5.6,300,0,2
1211,300,0,4.8,300,0,2
1212,300,300,4.8,300,0,2
1213,300,0,3.6,300,0,2
1214,300,300,4.8,300,900,2
1215,600,300,10,600,900,2
1216,300,0,7.6,300,900,2
1217,900,300,7.6,900,600,2
1218,900,300,7.6,900,0,2
1219,600,600,8,600,28800,2
1220,600,300,5.6,600,300,2
1221,300,300,5.6,300,600,2
1222,600,300,7.2,600,0,2
1223,600,900,16.4,600,0,2
1224,1500,300,16.4,1500,0,2
1225,600,300,8.8,600,17400,2
1226,300,300,32.4,300,22200,2
1227,600,300,10.4,600,3900,2
1228,300,300,6.4,300,300,2
1229,600,300,8,600,600,2
1230,300,600,40,300,14400,2
1231,600,300,34,600,300,2
1232,600,900,40,600,0,2
1233,300,1200,40,300,0,2
1234,600,300,40,600,1200,2
1235,600,900,40,600,1200,2
1236,300,900,32.4,300,300,2
1237,300,600,32.4,300,600,2
1238,600,300,38,600,600,2
1239,600,300,11.6,600,600,2
1240,300,300,32.4,300,0,2
